"","V1"
"inaug_FranklinDRoosevelt_3_42",8
"inaug_FranklinDRoosevelt_3_43",2
"inaug_FranklinDRoosevelt_3_44",7
"inaug_FranklinDRoosevelt_3_45",2
"inaug_FranklinDRoosevelt_3_46",5
"inaug_FranklinDRoosevelt_3_47",5
"inaug_FranklinDRoosevelt_3_48",8
"inaug_FranklinDRoosevelt_3_49",13
"inaug_FranklinDRoosevelt_3_50",1
"inaug_FranklinDRoosevelt_3_51",5
"inaug_FranklinDRoosevelt_3_52",5
"inaug_FranklinDRoosevelt_3_53",4
"inaug_FranklinDRoosevelt_3_54",4
"inaug_FranklinDRoosevelt_3_55",4
"inaug_FranklinDRoosevelt_3_56",4
"inaug_FranklinDRoosevelt_3_57",4
"inaug_FranklinDRoosevelt_3_58",4
"inaug_FranklinDRoosevelt_3_59",4
"inaug_FranklinDRoosevelt_3_60",4
"inaug_FranklinDRoosevelt_3_61",8
"inaug_FranklinDRoosevelt_3_62",8
"inaug_FranklinDRoosevelt_3_63",13
"inaug_FranklinDRoosevelt_3_64",3
"inaug_FranklinDRoosevelt_3_65",3
"inaug_FranklinDRoosevelt_3_67",3
"inaug_FranklinDRoosevelt_3_69",10
"inaug_FranklinDRoosevelt_3_70",15
"inaug_FranklinDRoosevelt_3_71",4
"inaug_FranklinDRoosevelt_3_72",1
"inaug_FranklinDRoosevelt_3_73",2
"inaug_FranklinDRoosevelt_3_74",1
"inaug_FranklinDRoosevelt_3_75",7
"inaug_FranklinDRoosevelt_4_2",3
"inaug_FranklinDRoosevelt_4_3",3
"inaug_FranklinDRoosevelt_4_4",3
"inaug_FranklinDRoosevelt_4_5",3
"inaug_FranklinDRoosevelt_4_6",3
"inaug_FranklinDRoosevelt_4_7",3
"inaug_FranklinDRoosevelt_4_8",3
"inaug_FranklinDRoosevelt_4_9",15
"inaug_FranklinDRoosevelt_4_10",15
"inaug_FranklinDRoosevelt_4_11",15
"inaug_FranklinDRoosevelt_4_12",15
"inaug_FranklinDRoosevelt_4_13",4
"inaug_FranklinDRoosevelt_4_14",6
"inaug_FranklinDRoosevelt_4_15",6
"inaug_FranklinDRoosevelt_4_16",15
"inaug_FranklinDRoosevelt_4_17",15
"inaug_FranklinDRoosevelt_4_18",15
"inaug_FranklinDRoosevelt_4_19",2
"inaug_FranklinDRoosevelt_4_20",8
"inaug_FranklinDRoosevelt_4_21",10
"inaug_FranklinDRoosevelt_4_22",12
"inaug_FranklinDRoosevelt_4_23",12
"inaug_FranklinDRoosevelt_4_24",12
"inaug_FranklinDRoosevelt_4_25",12
"inaug_FranklinDRoosevelt_4_26",12
"inaug_FranklinDRoosevelt_4_27",12
"inaug_FranklinDRoosevelt_4_28",12
"inaug_FranklinDRoosevelt_4_29",8
"inaug_FranklinDRoosevelt_4_30",13
"inaug_FranklinDRoosevelt_4_31",14
"inaug_RonaldReagan_2_2",3
"inaug_RonaldReagan_2_3",3
"inaug_RonaldReagan_2_4",3
"inaug_RonaldReagan_2_5",3
"inaug_RonaldReagan_2_6",3
"inaug_RonaldReagan_2_7",3
"inaug_RonaldReagan_2_8",3
"inaug_RonaldReagan_2_9",3
"inaug_RonaldReagan_2_10",3
"inaug_RonaldReagan_2_11",3
"inaug_RonaldReagan_2_12",5
"inaug_RonaldReagan_2_13",8
"inaug_RonaldReagan_2_14",8
"inaug_RonaldReagan_2_15",7
"inaug_RonaldReagan_2_16",7
"inaug_RonaldReagan_2_17",7
"inaug_RonaldReagan_2_18",5
"inaug_RonaldReagan_2_19",8
"inaug_RonaldReagan_2_20",8
"inaug_RonaldReagan_2_21",8
"inaug_RonaldReagan_2_22",11
"inaug_RonaldReagan_2_23",11
"inaug_RonaldReagan_2_24",7
"inaug_RonaldReagan_2_25",6
"inaug_RonaldReagan_2_26",6
"inaug_RonaldReagan_2_27",6
"inaug_RonaldReagan_2_28",6
"inaug_RonaldReagan_2_29",11
"inaug_RonaldReagan_2_30",5
"inaug_RonaldReagan_2_31",5
"inaug_RonaldReagan_2_32",5
"inaug_RonaldReagan_2_33",6
"inaug_RonaldReagan_2_34",9
"inaug_RonaldReagan_2_35",14
"inaug_RonaldReagan_2_36",7
"inaug_RonaldReagan_2_37",9
"inaug_RonaldReagan_2_38",6
"inaug_RonaldReagan_2_39",6
"inaug_RonaldReagan_2_40",6
"inaug_RonaldReagan_2_41",8
"inaug_RonaldReagan_2_42",8
"inaug_RonaldReagan_2_43",8
"inaug_RonaldReagan_2_44",8
"inaug_RonaldReagan_2_45",8
"inaug_RonaldReagan_2_46",8
"inaug_RonaldReagan_2_47",8
"inaug_RonaldReagan_2_48",8
"inaug_RonaldReagan_2_49",8
"inaug_RonaldReagan_2_50",8
"inaug_RonaldReagan_2_51",8
"inaug_RonaldReagan_2_52",13
"inaug_RonaldReagan_2_53",13
"inaug_RonaldReagan_2_54",6
"inaug_RonaldReagan_2_55",6
"inaug_RonaldReagan_2_56",6
"inaug_RonaldReagan_2_57",11
"inaug_RonaldReagan_2_58",9
"inaug_RonaldReagan_2_59",4
"inaug_RonaldReagan_2_60",4
"inaug_RonaldReagan_2_61",4
"inaug_RonaldReagan_2_62",9
"inaug_RonaldReagan_2_63",9
"inaug_RonaldReagan_2_64",9
"inaug_RonaldReagan_2_65",15
"inaug_RonaldReagan_2_66",10
"inaug_RonaldReagan_2_67",10
"inaug_RonaldReagan_2_68",10
"inaug_RonaldReagan_2_69",14
"inaug_RonaldReagan_2_70",4
"inaug_RonaldReagan_2_71",11
"inaug_RonaldReagan_2_72",11
"inaug_RonaldReagan_2_73",11
"inaug_RonaldReagan_2_74",11
"inaug_RonaldReagan_2_75",11
"inaug_RonaldReagan_2_76",11
"inaug_RonaldReagan_2_77",11
"inaug_RonaldReagan_2_78",10
"inaug_RonaldReagan_2_79",10
"inaug_RonaldReagan_2_80",10
"inaug_RonaldReagan_2_81",10
"inaug_RonaldReagan_2_82",10
"inaug_RonaldReagan_2_83",10
"inaug_RonaldReagan_2_84",10
"inaug_RonaldReagan_2_85",10
"inaug_RonaldReagan_2_86",10
"inaug_RonaldReagan_2_87",10
"inaug_RonaldReagan_2_88",10
"inaug_RonaldReagan_2_89",6
"inaug_RonaldReagan_2_90",12
"inaug_RonaldReagan_2_91",12
"inaug_RonaldReagan_2_92",12
"inaug_RonaldReagan_2_93",6
"inaug_RonaldReagan_2_94",12
"inaug_RonaldReagan_2_95",12
"inaug_RonaldReagan_2_96",12
"inaug_RonaldReagan_2_97",12
"inaug_RonaldReagan_2_98",12
"inaug_RonaldReagan_2_99",12
"inaug_RonaldReagan_2_100",12
"inaug_RonaldReagan_2_101",12
"inaug_RonaldReagan_2_102",12
"inaug_RonaldReagan_2_103",12
"inaug_RonaldReagan_2_104",12
"inaug_RonaldReagan_2_105",12
"inaug_RonaldReagan_2_106",12
"inaug_RonaldReagan_2_107",12
"inaug_RonaldReagan_2_108",12
"inaug_RonaldReagan_2_109",12
"inaug_RonaldReagan_2_110",6
"inaug_RonaldReagan_2_111",6
"inaug_RonaldReagan_2_112",6
"inaug_RonaldReagan_2_113",6
"inaug_RonaldReagan_2_114",6
"inaug_RonaldReagan_2_115",6
"inaug_RonaldReagan_2_116",6
"inaug_RonaldReagan_2_117",7
"inaug_RonaldReagan_2_118",7
"inaug_RonaldReagan_2_119",7
"inaug_RonaldReagan_2_120",8
"inaug_RonaldReagan_2_121",8
"inaug_RonaldReagan_2_122",8
"inaug_RonaldReagan_2_123",8
"inaug_RonaldReagan_2_124",13
"inaug_RonaldReagan_2_125",13
"inaug_RonaldReagan_2_126",13
"inaug_RonaldReagan_2_127",13
"inaug_RonaldReagan_2_128",13
"inaug_RonaldReagan_2_129",5
"inaug_RonaldReagan_2_130",5
"inaug_RonaldReagan_2_131",7
"inaug_RonaldReagan_2_132",5
"inaug_RonaldReagan_2_133",9
"inaug_RonaldReagan_2_134",7
"inaug_RonaldReagan_2_135",13
"inaug_RonaldReagan_2_136",13
"inaug_GeorgeBush_1_2",3
"inaug_GeorgeBush_1_3",3
"inaug_GeorgeBush_1_4",3
"inaug_GeorgeBush_1_5",3
"inaug_GeorgeBush_1_6",3
"inaug_GeorgeBush_1_7",3
"inaug_GeorgeBush_1_8",3
"inaug_GeorgeBush_1_9",4
"inaug_GeorgeBush_1_10",4
"inaug_GeorgeBush_1_11",3
"inaug_GeorgeBush_1_12",3
"inaug_GeorgeBush_1_13",13
"inaug_GeorgeBush_1_14",13
"inaug_GeorgeBush_1_15",13
"inaug_GeorgeBush_1_16",13
"inaug_GeorgeBush_1_17",8
"inaug_GeorgeBush_1_18",14
"inaug_GeorgeBush_1_19",11
"inaug_GeorgeBush_1_20",3
"inaug_GeorgeBush_1_21",7
"inaug_GeorgeBush_1_22",7
"inaug_GeorgeBush_1_23",6
"inaug_GeorgeBush_1_24",1
"inaug_GeorgeBush_1_25",1
"inaug_GeorgeBush_1_26",14
"inaug_GeorgeBush_1_27",13
"inaug_GeorgeBush_1_28",6
"inaug_GeorgeBush_1_29",6
"inaug_GeorgeBush_1_30",6
"inaug_GeorgeBush_1_31",6
"inaug_GeorgeBush_1_32",6
"inaug_GeorgeBush_1_33",6
"inaug_GeorgeBush_1_34",6
"inaug_GeorgeBush_1_35",6
"inaug_GeorgeBush_1_36",6
"inaug_GeorgeBush_1_37",6
"inaug_GeorgeBush_1_38",11
"inaug_GeorgeBush_1_39",11
