"","V1"
"inaug_GeorgeWBush_1_18",10
"inaug_GeorgeWBush_1_19",4
"inaug_GeorgeWBush_1_20",4
"inaug_GeorgeWBush_1_21",4
"inaug_GeorgeWBush_1_22",9
"inaug_GeorgeWBush_1_23",10
"inaug_GeorgeWBush_1_24",10
"inaug_GeorgeWBush_1_25",6
"inaug_GeorgeWBush_1_26",5
"inaug_GeorgeWBush_1_27",7
"inaug_GeorgeWBush_1_28",7
"inaug_GeorgeWBush_1_29",2
"inaug_GeorgeWBush_1_30",10
"inaug_GeorgeWBush_1_31",2
"inaug_GeorgeWBush_1_32",2
"inaug_GeorgeWBush_1_33",2
"inaug_GeorgeWBush_1_34",2
"inaug_GeorgeWBush_1_35",10
"inaug_GeorgeWBush_1_36",10
"inaug_GeorgeWBush_1_37",2
"inaug_GeorgeWBush_1_38",2
"inaug_GeorgeWBush_1_39",2
"inaug_GeorgeWBush_1_40",2
"inaug_GeorgeWBush_1_41",2
"inaug_GeorgeWBush_1_42",5
"inaug_GeorgeWBush_1_43",5
"inaug_GeorgeWBush_1_44",5
"inaug_GeorgeWBush_1_45",5
"inaug_GeorgeWBush_1_46",5
"inaug_GeorgeWBush_1_47",9
"inaug_GeorgeWBush_1_48",9
"inaug_GeorgeWBush_1_49",9
"inaug_GeorgeWBush_1_50",9
"inaug_GeorgeWBush_1_51",9
"inaug_GeorgeWBush_1_52",1
"inaug_GeorgeWBush_1_53",9
"inaug_GeorgeWBush_1_54",10
"inaug_GeorgeWBush_1_55",10
"inaug_GeorgeWBush_1_56",10
"inaug_GeorgeWBush_1_57",6
"inaug_GeorgeWBush_1_58",8
"inaug_GeorgeWBush_1_59",3
"inaug_GeorgeWBush_1_60",9
"inaug_GeorgeWBush_1_61",6
"inaug_GeorgeWBush_1_62",8
"inaug_GeorgeWBush_1_63",3
"inaug_GeorgeWBush_1_64",2
"inaug_GeorgeWBush_1_65",2
"inaug_GeorgeWBush_1_66",2
"inaug_GeorgeWBush_1_67",2
"inaug_GeorgeWBush_1_68",4
"inaug_GeorgeWBush_1_69",4
"inaug_GeorgeWBush_1_70",4
"inaug_GeorgeWBush_1_71",3
"inaug_GeorgeWBush_1_72",10
"inaug_GeorgeWBush_1_73",8
"inaug_GeorgeWBush_1_74",2
"inaug_GeorgeWBush_1_75",8
"inaug_GeorgeWBush_1_76",2
"inaug_GeorgeWBush_1_77",2
"inaug_GeorgeWBush_1_78",2
"inaug_GeorgeWBush_1_79",2
"inaug_GeorgeWBush_1_80",2
"inaug_GeorgeWBush_1_81",2
"inaug_GeorgeWBush_1_82",2
"inaug_GeorgeWBush_1_83",2
"inaug_GeorgeWBush_1_84",2
"inaug_GeorgeWBush_1_85",2
